Class Name,Line Coverage (%),Mutation Coverage (%)
AliquotSum.java,85.0,86.0
AmicableNumber.java,89.0,85.0
Area.java,96.0,91.0
Armstrong.java,100.0,100.0
AutoCorrelation.java,33.0,100.0
AutomorphicNumber.java,88.0,100.0
Average.java,71.0,100.0
BinaryPow.java,78.0,100.0
BinomialCoefficient.java,57.0,100.0
Ceil.java,71.0,67.0
CircularConvolutionFFT.java,0.0,0.0
CollatzConjecture.java,100.0,91.0
Combinations.java,64.0,92.0
Convolution.java,0.0,0.0
ConvolutionFFT.java,0.0,0.0
CrossCorrelation.java,88.0,100.0
DeterminantOfMatrix.java,0.0,0.0
DigitalRoot.java,75.0,91.0
DistanceFormula.java,81.0,91.0
DudeneyNumber.java,75.0,100.0
EulerMethod.java,0.0,0.0
FFT.java,93.0,80.0
FFTBluestein.java,0.0,0.0
Factorial.java,75.0,100.0
FactorialRecursion.java,60.0,100.0
FastInverseSqrt.java,39.0,9.0
FibonacciJavaStreams.java,82.0,90.0
FibonacciLoop.java,85.0,88.0
FibonacciNumberCheck.java,71.0,92.0
FibonacciNumberGoldenRation.java,85.0,86.0
FindKthNumber.java,0.0,0.0
FindMax.java,80.0,83.0
FindMaxRecursion.java,82.0,100.0
FindMin.java,78.0,83.0
FindMinRecursion.java,82.0,100.0
Floor.java,71.0,78.0
FrizzyNumber.java,71.0,100.0
GCD.java,70.0,86.0
GCDRecursion.java,0.0,0.0
Gaussian.java,94.0,72.0
GenericRoot.java,85.0,87.0
HarshadNumber.java,87.0,84.0
HeronsFormula.java,75.0,86.0
JosephusProblem.java,67.0,100.0
JugglerSequence.java,0.0,0.0
KaprekarNumbers.java,90.0,82.0
KeithNumber.java,0.0,0.0
KrishnamurthyNumber.java,0.0,0.0
LeastCommonMultiple.java,55.0,54.0
LeonardoNumber.java,71.0,100.0
LinearDiophantineEquationsSolver.java,0.0,0.0
LiouvilleLambdaFunction.java,60.0,100.0
LongDivision.java,85.0,59.0
LucasSeries.java,80.0,100.0
MagicSquare.java,0.0,0.0
MatrixRank.java,96.0,98.0
MatrixUtil.java,0.0,0.0
MaxValue.java,33.0,67.0
Means.java,82.0,100.0
Median.java,60.0,90.0
MillerRabinPrimalityCheck.java,95.0,82.0
MinValue.java,33.0,67.0
MobiusFunction.java,85.0,94.0
Mode.java,88.0,100.0
NonRepeatingElement.java,0.0,0.0
NthUglyNumber.java,100.0,100.0
NumberOfDigits.java,80.0,94.0
PalindromeNumber.java,83.0,100.0
ParseInteger.java,89.0,100.0
PascalTriangle.java,75.0,100.0
PerfectCube.java,71.0,100.0
PerfectNumber.java,88.0,88.0
PerfectSquare.java,50.0,100.0
Perimeter.java,78.0,100.0
PiNilakantha.java,0.0,0.0
PollardRho.java,82.0,100.0
Pow.java,0.0,0.0
PowerOfTwoOrNot.java,33.0,100.0
PowerUsingRecursion.java,60.0,100.0
PrimeCheck.java,25.0,32.0
PrimeFactorization.java,87.0,85.0
PronicNumber.java,67.0,75.0
PythagoreanTriple.java,31.0,77.0
ReverseNumber.java,80.0,100.0
RomanNumeralUtil.java,0.0,0.0
SecondMinMax.java,90.0,100.0
SimpsonIntegration.java,0.0,0.0
SquareFreeInteger.java,67.0,100.0
SquareRootWithBabylonianMethod.java,78.0,86.0
SquareRootWithNewtonRaphsonMethod.java,75.0,70.0
StandardDeviation.java,82.0,100.0
StandardScore.java,33.0,100.0
StrobogrammaticNumber.java,100.0,89.0
SumOfArithmeticSeries.java,60.0,100.0
SumOfDigits.java,85.0,100.0
SumWithoutArithmeticOperators.java,100.0,100.0
TrinomialTriangle.java,0.0,0.0
TwinPrime.java,60.0,100.0
VampireNumber.java,0.0,0.0
VectorCrossProduct.java,0.0,0.0
Volume.java,80.0,100.0
AnyBaseToDecimal.java,0.0,0.0
AnytoAny.java,0.0,0.0
BinaryToDecimal.java,50.0,70.0
BinaryToHexadecimal.java,62.0,71.0
BinaryToOctal.java,62.0,75.0
DecimalToAnyBase.java,0.0,0.0
DecimalToBinary.java,0.0,0.0
DecimalToHexaDecimal.java,47.0,70.0
DecimalToOctal.java,0.0,0.0
HexToOct.java,63.0,82.0
HexaDecimalToBinary.java,54.0,60.0
HexaDecimalToDecimal.java,44.0,63.0
IntegerToRoman.java,67.0,82.0
OctalToBinary.java,90.0,100.0
OctalToDecimal.java,7.0,14.0
OctalToHexadecimal.java,59.0,71.0
RgbHsvConversion.java,0.0,0.0
RomanToInteger.java,75.0,83.0
TurkishToLatinConversion.java,0.0,0.0
AVLTree.java,0.0,0.0
BSTFromSortedArray.java,83.0,100.0
BSTIterative.java,60.0,29.0
BSTRecursive.java,54.0,21.0
BSTRecursiveGeneric.java,19.0,13.0
BinaryTree.java,53.0,31.0
